GO_0003674|molecular_function
GO_1903207|obsolete regulation of hydrogen peroxide-induced neuron death
GO_1903208|obsolete negative regulation of hydrogen peroxide-induced neuron death
GO_1903209|obsolete positive regulation of oxidative stress-induced cell death
GO_1903210|podocyte apoptotic process
GO_1903211|
GO_1903212|protein localization to mating-type region heterochromatin
GO_1903213|protein localization to subtelomeric heterochromatin
GO_1903214|regulation of protein targeting to mitochondrion
GO_1903215|negative regulation of protein targeting to mitochondrion
GO_1903216|regulation of protein processing involved in protein targeting to mitochondrion
GO_1903217|negative regulation of protein processing involved in protein targeting to mitochondrion
GO_1903218|regulation of malate dehydrogenase (decarboxylating) (NADP+) activity
GO_1903219|negative regulation of malate dehydrogenase (decarboxylating) (NADP+) activity
GO_1903220|positive regulation of malate dehydrogenase (decarboxylating) (NADP+) activity
GO_1903222|quinolinic acid transmembrane transport
GO_1903223|obsolete positive regulation of oxidative stress-induced neuron death
GO_1903226|positive regulation of endodermal cell differentiation
GO_1903227|xanthosine metabolic process
GO_1903228|xanthosine catabolic process
GO_1903229|xanthosine biosynthetic process
GO_1903230|obsolete miRNA binding involved in posttranscriptional gene silencing
GO_1903232|melanosome assembly
GO_1903234|negative regulation of calcium ion-dependent exocytosis of neurotransmitter
GO_1903235|positive regulation of calcium ion-dependent exocytosis of neurotransmitter
GO_1903236|regulation of leukocyte tethering or rolling
GO_1903237|negative regulation of leukocyte tethering or rolling
GO_1903238|positive regulation of leukocyte tethering or rolling
GO_1903239|obsolete regulation of positive regulation of the force of heart contraction by chemical signal
GO_1903240|obsolete negative regulation of positive regulation of the force of heart contraction by chemical signal
GO_1903241|U2-type prespliceosome assembly
GO_1903242|regulation of cardiac muscle hypertrophy in response to stress
GO_1903243|negative regulation of cardiac muscle hypertrophy in response to stress
GO_1903244|positive regulation of cardiac muscle hypertrophy in response to stress
GO_1903245|obsolete regulation of adrenergic receptor signaling pathway involved in positive regulation of heart rate
GO_1903246|obsolete negative regulation of adrenergic receptor signaling pathway involved in positive regulation of heart rate
GO_1903247|obsolete positive regulation of adrenergic receptor signaling pathway involved in positive regulation of heart rate
GO_1903248|regulation of citrulline biosynthetic process
GO_1903249|negative regulation of citrulline biosynthetic process
GO_1903250|positive regulation of citrulline biosynthetic process
GO_1903252|hercynylcysteine sulfoxide metabolic process
GO_1903253|hercynylcysteine sulfoxide biosynthetic process
GO_1903254|hercynylselenocysteine metabolic process
GO_1903255|hercynylselenocysteine biosynthetic process
GO_1903256|selenoneine metabolic process
GO_1903257|selenoneine biosynthetic process
GO_1903258|sorbose import across plasma membrane
GO_1903259|exon-exon junction complex disassembly
GO_1903260|protein localization to mating projection tip
GO_1903261|
GO_1903262|
GO_1903263|
GO_1903264|nitrate reductase activity involved in anaerobic electron transport chain
GO_1903265|positive regulation of tumor necrosis factor-mediated signaling pathway
GO_1903266|regulation of ornithine catabolic process
GO_1903267|negative regulation of ornithine catabolic process
GO_1903268|positive regulation of ornithine catabolic process
GO_1903269|ornithine carbamoyltransferase inhibitor complex
GO_1903270|regulation of cytoplasmic translational elongation through polyproline stretches
GO_1903271|negative regulation of cytoplasmic translational elongation through polyproline stretches
GO_1903272|positive regulation of cytoplasmic translational elongation through polyproline stretches
GO_1903273|
GO_1903274|
GO_1903275|
GO_1903276|regulation of sodium ion export across plasma membrane
GO_1903277|negative regulation of sodium ion export across plasma membrane
GO_1903278|positive regulation of sodium ion export across plasma membrane
GO_1903279|regulation of calcium:sodium antiporter activity
GO_1903280|negative regulation of calcium:sodium antiporter activity
GO_1903281|positive regulation of calcium:sodium antiporter activity
GO_1903282|regulation of glutathione peroxidase activity
GO_1903283|negative regulation of glutathione peroxidase activity
GO_1903284|positive regulation of glutathione peroxidase activity
GO_1903285|positive regulation of hydrogen peroxide catabolic process
GO_1903286|regulation of potassium ion import
GO_1903287|negative regulation of potassium ion import across plasma membrane
GO_1903288|positive regulation of potassium ion import across plasma membrane
GO_1903289|obsolete regulation of ATP catabolic process
GO_1903290|obsolete negative regulation of ATP catabolic process
GO_1903291|obsolete positive regulation of ATP catabolic process
GO_1903292|protein localization to Golgi membrane
GO_1903294|regulation of glutamate secretion, neurotransmission
GO_1903295|negative regulation of glutamate secretion, neurotransmission
GO_1903297|regulation of hypoxia-induced intrinsic apoptotic signaling pathway
GO_1903298|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway
GO_1903302|regulation of pyruvate kinase activity
GO_1903303|negative regulation of pyruvate kinase activity
GO_1903304|positive regulation of pyruvate kinase activity
GO_1903308|
GO_1903309|
GO_1903310|
GO_1903323|regulation of snoRNA metabolic process
GO_1903324|negative regulation of snoRNA metabolic process
GO_1903325|positive regulation of snoRNA metabolic process
GO_1903334|positive regulation of protein folding
GO_1903341|regulation of meiotic DNA double-strand break formation
GO_1903342|negative regulation of meiotic DNA double-strand break formation
GO_1903343|positive regulation of meiotic DNA double-strand break formation
GO_1903344|regulation of protein polyglycylation
GO_1903345|negative regulation of protein polyglycylation
GO_1903346|positive regulation of protein polyglycylation
GO_1903347|negative regulation of bicellular tight junction assembly
GO_1903348|positive regulation of bicellular tight junction assembly
GO_1903350|response to dopamine
GO_1903354|regulation of distal tip cell migration
GO_1903355|negative regulation of distal tip cell migration
GO_1903356|positive regulation of distal tip cell migration
GO_1903357|regulation of transcription initiation by RNA polymerase I
GO_1903359|lateral cortical node assembly
GO_1903360|protein localization to lateral cortical node
GO_1903362|
GO_1903363|
GO_1903364|
GO_1903365|regulation of fear response
GO_1903366|negative regulation of fear response
GO_1903367|positive regulation of fear response
GO_1903368|regulation of foraging behavior
GO_1903369|negative regulation of foraging behavior
GO_1903370|positive regulation of foraging behavior
GO_1903371|regulation of endoplasmic reticulum tubular network organization
GO_1903372|negative regulation of endoplasmic reticulum tubular network organization
GO_1903373|positive regulation of endoplasmic reticulum tubular network organization
GO_1903374|obsolete subarachnoid space development
GO_1903375|facioacoustic ganglion development
GO_1903376|regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
GO_1903377|negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
GO_1903378|positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
GO_1903379|regulation of mitotic chromosome condensation
GO_1903380|positive regulation of mitotic chromosome condensation
GO_1903381|regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway
GO_1903382|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway
GO_1903383|regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway
GO_1903384|negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway
GO_1903385|regulation of homophilic cell adhesion
GO_1903386|negative regulation of homophilic cell adhesion
GO_1903387|positive regulation of homophilic cell adhesion
GO_1903388|regulation of synaptic vesicle uncoating
GO_1903389|negative regulation of synaptic vesicle uncoating
GO_1903390|positive regulation of synaptic vesicle uncoating
GO_1903391|regulation of adherens junction organization
GO_1903392|negative regulation of adherens junction organization
GO_1903393|positive regulation of adherens junction organization
GO_1903394|protein localization to kinetochore involved in kinetochore assembly
GO_1903395|regulation of secondary cell septum biogenesis
GO_1903396|negative regulation of secondary cell septum biogenesis
GO_1903397|positive regulation of secondary cell septum biogenesis
GO_1903398|obsolete regulation of m7G(5')pppN diphosphatase activity
GO_1903399|obsolete positive regulation of m7G(5')pppN diphosphatase activity
GO_1903400|
GO_1903402|regulation of renal phosphate excretion
GO_1903403|negative regulation of renal phosphate excretion
GO_1903404|positive regulation of renal phosphate excretion
GO_1903405|protein localization to nuclear body
GO_1903406|regulation of P-type sodium:potassium-exchanging transporter activity
GO_1903407|negative regulation of P-type sodium:potassium-exchanging transporter activity
GO_1903408|positive regulation of P-type sodium:potassium-exchanging transporter activity
GO_1903410|
GO_1903411|
GO_1903412|response to bile acid
GO_1903413|cellular response to bile acid
GO_1903414|
GO_1903415|flavonoid transport from endoplasmic reticulum to plant-type vacuole
GO_1903418|protein localization to plasma membrane of cell tip
GO_1903419|protein localization to cortical endoplasmic reticulum
GO_1903420|protein localization to endoplasmic reticulum tubular network
GO_1903432|regulation of TORC1 signaling
GO_1903433|regulation of constitutive secretory pathway
GO_1903434|negative regulation of constitutive secretory pathway
GO_1903435|positive regulation of constitutive secretory pathway
GO_1903439|calcitonin family receptor complex
